local_time_boot_ms,target_time_boot_ms,attitude_time_boot_ms,servo_time_usec,x,y,z,vx,vy,vz,target_x,target_y,target_z,target_vx,target_vy,target_vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,servo1_raw,servo2_raw,servo3_raw,servo4_raw,is_err
1888260,1888308,1888316,1888336000,-0.010536573827266693,0.2586236298084259,0.035064697265625,0.030546460300683975,-0.012416733428835869,0.0004404775972943753,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.025225110352039337,-0.20615306496620178,-2.4985291957855225,-3.1357762813568115,0.002898565959185362,1.1121814250946045,-0.0015899876598268747,0.00988799799233675,-0.0004579906235449016,2000,1000,2000,1000,False
1888356,1888412,1888416,1888436000,-0.010138372890651226,0.25809594988822937,0.033721923828125,0.026777388527989388,-0.013702217489480972,-0.000927090470213443,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.023894306272268295,-0.2058342695236206,-2.4966371059417725,-3.1356077194213867,0.0028486556839197874,1.1123099327087402,-0.0041463254019618034,-0.0008847765857353806,0.006539632566273212,2000,1000,2000,1000,False
1888460,1888508,1888516,1888536000,-0.012152154929935932,0.2577991783618927,0.031829833984375,0.02772635966539383,-0.016643831506371498,0.0019146850099787116,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.02281631901860237,-0.20530270040035248,-2.4951722621917725,-3.135521650314331,0.002545534633100033,1.1121997833251953,0.00753862364217639,0.006229456514120102,2.530039637349546e-06,2000,1000,2000,1000,False
1888556,1888604,1888612,1888640000,-0.0127950981259346,0.25694409012794495,0.03045654296875,0.024154052138328552,-0.01951892487704754,0.0014014956541359425,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.022508004680275917,-0.20437288284301758,-2.4939820766448975,-3.1353349685668945,0.0028019158635288477,1.1117823123931885,0.0040422226302325726,0.008977041579782963,-0.00024742152891121805,2000,1000,2000,1000,False
1888652,1888708,1888712,1888740000,-0.012926170602440834,0.25598666071891785,0.029541015625,0.01844375766813755,-0.017319295555353165,0.004050648305565119,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.022539034485816956,-0.20337402820587158,-2.4932801723480225,-3.1350979804992676,0.002182726515457034,1.1118744611740112,0.0016959656495600939,-0.003581371856853366,0.001771940616890788,2000,1000,2000,1000,False
1888756,1888804,1888812,1888836000,-0.013666486367583275,0.2550409436225891,0.0286865234375,0.014316696673631668,-0.017306823283433914,0.004416096489876509,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.0195700004696846,-0.2028477042913437,-2.4916017055511475,-3.1352949142456055,0.0025977964978665113,1.1117002964019775,-0.008888835087418556,-0.014004780910909176,0.0002852343604899943,2000,1000,2000,1000,False
1888852,1888908,1888912,1888936000,-0.017830947414040565,0.2545911371707916,0.026702880859375,0.012507883831858635,-0.017763815820217133,0.005720165558159351,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.016188830137252808,-0.202352374792099,-2.4900147914886475,-3.1351518630981445,0.0027693654410541058,1.111901879310608,-0.007068123668432236,-0.018152320757508278,-0.004483367316424847,2000,1000,2000,1000,False
1888956,1889004,1889012,1889040000,-0.02066272869706154,0.2541106641292572,0.0255126953125,0.012042045593261719,-0.013128421269357204,0.005886945407837629,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.014239142648875713,-0.2020263820886612,-2.4892213344573975,-3.135308027267456,0.0027457226533442736,1.1114616394042969,0.006829060148447752,0.010919550433754921,0.00787083338946104,2000,1000,2000,1000,False
1889052,1889108,1889116,1889140000,-0.02235519327223301,0.25379619002342224,0.02471923828125,0.00913785770535469,-0.012653090059757233,0.005039237905293703,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.012902369722723961,-0.20150001347064972,-2.4883973598480225,-3.13557767868042,0.00276558636687696,1.1117305755615234,0.0007610025350004435,-0.004160511773079634,-0.0036933075170964003,2000,1000,2000,1000,False
1889156,1889212,1889216,1889236000,-0.023627756163477898,0.25320661067962646,0.023895263671875,0.009396188892424107,-0.014755969867110252,0.0032176305539906025,-0.03658611327409744,0.04131903499364853,-2.4640395641326904,-0.011371592059731483,-0.20124027132987976,-2.4872071743011475,-3.135727882385254,0.0027967323549091816,1.1116796731948853,-0.0010631182231009007,0.007014616392552853,-0.0007155478233471513,2000,1000,2000,1000,False
